id,label
0,8
1,1
2,2
3,2
4,3
5,2
6,0
7,7
8,4
9,0
10,3
11,3
12,3
13,1
14,2
15,3
16,6
17,4
18,0
19,4
20,8
21,7
22,4
23,3
24,1
25,4
26,2
27,7
28,3
29,1
30,1
31,8
32,0
33,1
34,3
35,4
36,8
37,5
38,7
39,7
40,0
41,7
42,8
43,5
44,2
45,8
46,8
47,0
48,8
49,1
50,7
51,6
52,6
53,8
54,2
55,4
56,3
57,1
58,1
59,2
60,4
61,6
62,3
63,1
64,7
65,6
66,1
67,7
68,4
69,6
70,3
71,3
72,0
73,8
74,4
75,5
76,3
77,1
78,7
79,3
80,3
81,1
82,6
83,5
84,0
85,0
86,5
87,6
88,3
89,4
90,8
91,6
92,0
93,2
94,5
95,3
96,4
97,2
98,3
99,7
100,6
101,4
102,4
103,3
104,7
105,7
106,0
107,0
108,1
109,7
110,5
111,2
112,1
113,1
114,2
115,3
116,6
117,7
118,0
119,2
120,1
121,1
122,3
123,3
124,8
125,5
126,6
127,3
128,5
129,7
130,7
131,7
132,4
133,2
134,0
135,3
136,3
137,0
138,5
139,7
140,6
141,1
142,0
143,1
144,3
145,4
146,5
147,3
148,3
149,7
150,5
151,7
152,7
153,4
154,4
155,5
156,8
157,5
158,5
159,5
160,8
161,4
162,2
163,3
164,8
165,1
166,2
167,0
168,7
169,2
170,1
171,0
172,2
173,8
174,8
175,4
176,6
177,5
178,4
179,1
180,7
181,1
182,7
183,1
184,6
185,1
186,6
187,1
188,1
189,7
190,5
191,7
192,3
193,2
194,7
195,1
196,7
197,2
198,3
199,7
200,1
201,5
202,0
203,2
204,1
205,2
206,1
207,7
208,6
209,8
210,3
211,2
212,8
213,1
214,6
215,7
216,1
217,8
218,4
219,2
220,0
221,6
222,3
223,7
224,5
225,1
226,3
227,4
228,1
229,1
230,1
231,1
232,7
233,6
234,1
235,6
236,0
237,4
238,7
239,3
240,6
241,7
242,2
243,0
244,6
245,0
246,0
247,4
248,3
249,3
250,7
251,6
252,7
253,8
254,7
255,8
256,8
257,3
258,5
259,8
260,6
261,2
262,6
263,3
264,0
265,1
266,0
267,4
268,3
269,5
270,0
271,6
272,0
273,4
274,2
275,2
276,5
277,3
278,2
279,6
280,1
281,2
282,0
283,2
284,7
285,7
286,1
287,6
288,3
289,2
290,3
291,6
292,2
293,4
294,7
295,7
296,4
297,5
298,6
299,8
300,4
301,2
302,7
303,4
304,0
305,3
306,1
307,6
308,3
309,3
310,0
311,3
312,7
313,2
314,6
315,1
316,6
317,1
318,7
319,5
320,8
321,7
322,3
323,6
324,6
325,7
326,1
327,8
328,3
329,7
330,6
331,2
332,1
333,5
334,2
335,8
336,7
337,4
338,6
339,8
340,0
341,1
342,5
343,6
344,1
345,7
346,2
347,1
348,8
349,1
350,0
351,6
352,3
353,0
354,8
355,6
356,4
357,1
358,3
359,6
360,3
361,4
362,6
363,2
364,3
365,1
366,2
367,5
368,7
369,5
370,0
371,4
372,7
373,8
374,7
375,3
376,5
377,7
378,3
379,1
380,2
381,5
382,0
383,1
384,8
385,2
386,0
387,3
388,1
389,5
390,2
391,8
392,2
393,6
394,6
395,3
396,8
397,3
398,8
399,4
400,2
401,6
402,4
403,3
404,8
405,6
406,0
407,4
408,3
409,1
410,7
411,8
412,1
413,6
414,2
415,7
416,7
417,6
418,8
419,2
420,3
421,8
422,8
423,6
424,6
425,0
426,0
427,5
428,0
429,5
430,2
431,3
432,6
433,5
434,5
435,4
436,6
437,8
438,6
439,1
440,0
441,1
442,6
443,0
444,2
445,8
446,6
447,5
448,4
449,4
450,7
451,7
452,2
453,3
454,3
455,0
456,8
457,2
458,1
459,7
460,7
461,6
462,3
463,3
464,3
465,6
466,0
467,8
468,0
469,0
470,8
471,7
472,5
473,0
474,0
475,3
476,3
477,5
478,4
479,3
480,2
481,8
482,0
483,7
484,0
485,4
486,1
487,7
488,6
489,1
490,7
491,5
492,3
493,7
494,0
495,1
496,7
497,2
498,6
499,6
500,0
501,8
502,3
503,1
504,7
505,7
506,4
507,6
508,7
509,2
510,7
511,1
512,3
513,2
514,3
515,3
516,4
517,8
518,3
519,8
520,5
521,3
522,2
523,7
524,0
525,5
526,3
527,1
528,1
529,2
530,8
531,0
532,3
533,7
534,2
535,7
536,8
537,0
538,7
539,8
540,2
541,1
542,5
543,7
544,8
545,5
546,6
547,4
548,2
549,8
550,1
551,8
552,2
553,7
554,0
555,2
556,1
557,0
558,7
559,2
560,5
561,1
562,6
563,2
564,8
565,2
566,3
567,5
568,3
569,1
570,1
571,3
572,5
573,6
574,8
575,0
576,5
577,1
578,1
579,0
580,8
581,7
582,1
583,8
584,1
585,7
586,5
587,5
588,5
589,1
590,5
591,8
592,1
593,3
594,4
595,2
596,6
597,6
598,3
599,6
600,2
601,3
602,3
603,7
604,6
605,2
606,1
607,7
608,8
609,5
610,5
611,1
612,5
613,5
614,5
615,0
616,5
617,2
618,3
619,7
620,7
621,7
622,3
623,7
624,7
625,3
626,7
627,4
628,3
629,1
630,7
631,7
632,5
